Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/key_0,85,0,9100,9050.823529411764,486,13894,113.95294117647059,0.28405008069783105,0.0,9100,9400,9500,9600,9700,10000,14000,14000,14000,14000,14000
GET,/get/key_1,115,0,9000,8853.295652173912,1473,9978,112.0,0.3843030503558891,0.0,9000,9200,9300,9400,9500,9600,9800,9900,10000,10000,10000
GET,/get/key_10,80,0,9000,8965.125,4452,10104,114.0,0.2673412524214881,0.0,9000,9200,9300,9400,9600,9800,9900,10000,10000,10000,10000
GET,/get/key_100,80,0,9000,8631.45,194,14477,115.0,0.2673412524214881,0.0,9000,9100,9200,9300,9600,9800,13000,14000,14000,14000,14000
GET,/get/key_11,85,0,9100,9069.117647058823,3331,14267,114.0,0.28405008069783105,0.0,9100,9300,9400,9500,9700,9800,14000,14000,14000,14000,14000
GET,/get/key_12,75,0,9000,8865.32,1649,12481,114.49333333333334,0.2506324241451451,0.0,9000,9300,9400,9500,9700,9900,10000,12000,12000,12000,12000
GET,/get/key_13,70,0,9000,8958.528571428571,1163,13396,114.0,0.23392359586880207,0.0,9100,9200,9300,9400,9500,9800,10000,13000,13000,13000,13000
GET,/get/key_14,72,0,9100,8773.625,1062,10305,114.0,0.24060712717933927,0.0,9100,9200,9400,9400,9600,9800,9900,10000,10000,10000,10000
GET,/get/key_15,66,0,9000,9052.424242424242,5106,10205,114.65151515151516,0.22055653324772764,0.0,9100,9200,9300,9500,9800,9900,10000,10000,10000,10000,10000
GET,/get/key_16,97,0,9000,8862.680412371134,1767,9887,114.0,0.3241512685610543,0.0,9000,9200,9400,9500,9700,9800,9800,9900,9900,9900,9900
GET,/get/key_17,71,0,9000,8999.338028169013,2735,13517,114.53521126760563,0.23726536152407066,0.0,9000,9300,9500,9500,9800,11000,13000,14000,14000,14000,14000
GET,/get/key_18,77,0,9100,8911.48051948052,2091,14673,114.94805194805195,0.25731595545568225,0.0,9100,9300,9400,9400,9700,10000,14000,15000,15000,15000,15000
GET,/get/key_19,93,0,9000,8919.68817204301,1097,13794,114.54838709677419,0.31078420593997985,0.0,9000,9200,9300,9400,9700,10000,14000,14000,14000,14000,14000
GET,/get/key_2,65,0,9000,8797.246153846154,4635,10114,113.95384615384616,0.21721476759245906,0.0,9000,9100,9200,9300,9500,9700,9700,10000,10000,10000,10000
GET,/get/key_20,86,0,8900,8400.03488372093,1626,12780,114.0,0.28739184635309967,0.0,9000,9100,9300,9400,9700,9800,10000,13000,13000,13000,13000
GET,/get/key_21,72,0,9100,8978.652777777777,4800,10862,114.0,0.24060712717933927,0.0,9100,9200,9400,9400,9700,9900,10000,11000,11000,11000,11000
GET,/get/key_22,74,0,9000,8805.418918918918,2205,15154,113.0,0.24729065848987647,0.0,9100,9400,9500,9500,9700,9900,11000,15000,15000,15000,15000
GET,/get/key_23,66,0,9000,8988.060606060606,4319,13609,114.60606060606061,0.22055653324772764,0.0,9000,9300,9400,9600,9800,10000,13000,14000,14000,14000,14000
GET,/get/key_24,83,0,9000,8805.144578313253,2090,13385,114.0,0.2773665493872939,0.0,9000,9200,9400,9500,9700,9800,10000,13000,13000,13000,13000
GET,/get/key_25,83,0,9100,8896.084337349397,1140,13469,114.0,0.2773665493872939,0.0,9100,9400,9500,9500,9700,9800,9900,13000,13000,13000,13000
GET,/get/key_26,86,0,9100,8964.0,1098,14726,114.65116279069767,0.28739184635309967,0.0,9100,9300,9500,9500,9800,10000,15000,15000,15000,15000,15000
GET,/get/key_27,87,0,9200,9060.528735632184,3600,13832,114.55172413793103,0.2907336120083683,0.0,9200,9400,9500,9600,9800,9900,13000,14000,14000,14000,14000
GET,/get/key_28,87,0,9100,8916.183908045978,1993,13516,114.0,0.2907336120083683,0.0,9100,9300,9400,9500,9800,9900,13000,14000,14000,14000,14000
GET,/get/key_29,83,0,9100,9031.361445783132,3803,13714,114.0,0.2773665493872939,0.0,9100,9200,9400,9400,9800,10000,10000,14000,14000,14000,14000
GET,/get/key_3,90,0,9100,9074.3,2091,14882,113.0,0.30075890897417407,0.0,9100,9200,9300,9400,9800,10000,10000,15000,15000,15000,15000
GET,/get/key_30,72,0,9100,9049.5,4578,13297,114.0,0.24060712717933927,0.0,9100,9200,9400,9400,9700,9900,10000,13000,13000,13000,13000
GET,/get/key_31,77,0,9000,9006.22077922078,4626,12633,115.0,0.25731595545568225,0.0,9000,9300,9400,9500,9900,10000,10000,13000,13000,13000,13000
GET,/get/key_32,71,0,9000,9143.61971830986,3062,14420,113.0,0.23726536152407066,0.0,9000,9200,9300,9500,9800,10000,13000,14000,14000,14000,14000
GET,/get/key_33,87,0,8900,8822.620689655172,3393,13582,114.97701149425288,0.2907336120083683,0.0,8900,9100,9200,9300,9600,9700,10000,14000,14000,14000,14000
GET,/get/key_34,76,0,9000,8851.592105263158,2519,10068,114.0,0.25397418980041364,0.0,9000,9200,9300,9400,9600,9800,9900,10000,10000,10000,10000
GET,/get/key_35,71,0,9000,8986.985915492958,4388,14709,113.0,0.23726536152407066,0.0,9000,9200,9400,9400,9500,9800,13000,15000,15000,15000,15000
GET,/get/key_36,69,0,8900,8755.40579710145,2203,9880,114.0,0.23058183021353346,0.0,8900,9200,9200,9400,9600,9700,9800,9900,9900,9900,9900
GET,/get/key_37,78,0,9100,9409.74358974359,4527,17885,114.97435897435898,0.26065772111095087,0.0,9100,9300,9400,9500,10000,14000,14000,18000,18000,18000,18000
GET,/get/key_38,62,0,9200,8869.467741935483,618,10133,114.0,0.20718947062665324,0.0,9200,9300,9500,9500,9700,9800,10000,10000,10000,10000,10000
GET,/get/key_39,84,0,9000,9002.702380952382,1096,14194,114.0,0.2807083150425625,0.0,9000,9200,9300,9500,9700,9900,13000,14000,14000,14000,14000
GET,/get/key_4,78,0,9100,8908.897435897436,2723,13728,112.0,0.26065772111095087,0.0,9100,9200,9300,9400,9600,9900,10000,14000,14000,14000,14000
GET,/get/key_40,76,0,9000,9185.223684210527,3700,14692,114.0,0.25397418980041364,0.0,9000,9300,9400,9500,9700,9900,15000,15000,15000,15000,15000
GET,/get/key_41,84,0,9100,9041.07142857143,2734,14879,114.0,0.2807083150425625,0.0,9100,9200,9300,9400,9600,9800,14000,15000,15000,15000,15000
