Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/key_0,716,0,1000,1055.9832402234638,88,3019,114.56145251396649,2.3934259805846154,0.0,1000,1100,1200,1300,1400,1600,2000,2300,3000,3000,3000
GET,/get/key_1,662,0,1000,1037.4894259818732,80,3444,112.7296072507553,2.212916199925999,0.0,1000,1100,1200,1200,1400,1500,2000,2300,3400,3400,3400
GET,/get/key_10,659,0,990,1023.948406676783,112,4818,114.74051593323217,2.202887878778298,0.0,990,1100,1200,1200,1400,1500,1800,2000,4800,4800,4800
GET,/get/key_100,669,0,1000,1034.3662182361734,79,2977,115.94768310911809,2.236315615937301,0.0,1000,1100,1200,1200,1400,1600,1800,2200,3000,3000,3000
GET,/get/key_11,711,0,1000,1039.8284106891701,75,2805,114.9226441631505,2.3767121120051136,0.0,1000,1100,1200,1200,1400,1600,2000,2300,2800,2800,2800
GET,/get/key_12,655,0,1000,1063.2809160305344,96,3286,115.15725190839694,2.189516783914697,0.0,1000,1100,1200,1200,1400,1700,2200,2500,3300,3300,3300
GET,/get/key_13,724,0,1000,1057.5151933701657,87,2885,114.75690607734806,2.420168170311818,0.0,1000,1100,1200,1200,1400,1600,2000,2400,2900,2900,2900
GET,/get/key_14,710,0,1000,1046.5028169014086,79,2876,114.93943661971831,2.3733693382892134,0.0,1000,1100,1200,1200,1400,1600,2200,2600,2900,2900,2900
GET,/get/key_15,688,0,1000,1052.1061046511627,92,3241,115.13808139534883,2.299828316539407,0.0,1000,1100,1200,1200,1400,1600,2000,2600,3200,3200,3200
GET,/get/key_16,763,0,1000,1035.0366972477063,86,3112,114.94495412844037,2.5505363452319294,0.0,1000,1100,1200,1200,1400,1600,2000,2200,3100,3100,3100
GET,/get/key_17,700,0,1000,1034.2171428571428,86,2870,115.11571428571429,2.3399416011302105,0.0,1000,1100,1100,1200,1400,1600,1900,2500,2900,2900,2900
GET,/get/key_18,715,0,990,1026.8685314685315,94,2956,115.5986013986014,2.390083206868715,0.0,990,1100,1200,1200,1400,1600,2000,2400,3000,3000,3000
GET,/get/key_19,725,0,1000,1043.1779310344828,80,3084,115.13379310344827,2.423510944027718,0.0,1000,1100,1200,1200,1400,1600,2000,2500,3100,3100,3100
GET,/get/key_2,691,0,1000,1052.7076700434154,90,4292,114.60202604920406,2.309856637687108,0.0,1000,1100,1200,1200,1400,1600,2200,2600,4300,4300,4300
GET,/get/key_20,670,0,1000,1035.2417910447762,84,3211,114.94925373134329,2.2396583896532016,0.0,1000,1100,1200,1200,1400,1600,2000,2600,3200,3200,3200
GET,/get/key_21,606,0,1000,1042.622112211221,81,3564,114.93894389438944,2.025720871835582,0.0,1000,1100,1200,1200,1400,1600,1900,2100,3600,3600,3600
GET,/get/key_22,683,0,1000,1022.5183016105417,80,3513,113.7510980966325,2.2831144479599055,0.0,1000,1100,1200,1200,1400,1500,2000,2600,3500,3500,3500
GET,/get/key_23,682,0,1000,1027.9736070381232,92,3230,115.14076246334311,2.279771674244005,0.0,1000,1100,1200,1200,1400,1600,1800,2000,3200,3200,3200
GET,/get/key_24,653,0,1000,1041.8882082695252,106,3918,114.93874425727412,2.182831236482896,0.0,1000,1100,1200,1200,1400,1600,2200,2500,3900,3900,3900
GET,/get/key_25,640,0,1000,1031.6609375,99,2952,114.9390625,2.1393751781761923,0.0,1000,1100,1200,1200,1400,1600,1900,2200,3000,3000,3000
GET,/get/key_26,668,0,1000,1033.37125748503,94,3203,115.15119760479043,2.232972842221401,0.0,1000,1100,1200,1200,1300,1500,1800,2400,3200,3200,3200
GET,/get/key_27,693,0,1000,1062.2943722943724,90,2860,115.14862914862915,2.3165421851189083,0.0,1000,1100,1200,1200,1400,1700,2300,2500,2900,2900,2900
GET,/get/key_28,659,0,1000,1022.3201820940819,79,2731,114.93778452200303,2.202887878778298,0.0,1000,1100,1200,1200,1400,1500,1800,2000,2700,2700,2700
GET,/get/key_29,692,0,1000,1033.4234104046243,90,3452,114.9378612716763,2.313199411403008,0.0,1000,1100,1100,1200,1300,1600,1900,2100,3500,3500,3500
GET,/get/key_3,670,0,1000,1063.2268656716417,78,3279,113.94179104477612,2.2396583896532016,0.0,1000,1100,1200,1200,1400,1600,2300,2600,3300,3300,3300
GET,/get/key_30,735,0,1000,1060.4816326530613,88,3698,114.77006802721088,2.456938681186721,0.0,1000,1100,1200,1200,1400,1600,2000,2300,3700,3700,3700
GET,/get/key_31,708,0,1000,1023.3389830508474,90,2525,115.9816384180791,2.366683790857413,0.0,1000,1100,1200,1200,1300,1500,1700,2000,2500,2500,2500
GET,/get/key_32,684,0,1000,1039.4970760233919,90,3194,113.75730994152046,2.2864572216758057,0.0,1000,1100,1200,1200,1400,1600,1900,2300,3200,3200,3200
GET,/get/key_33,662,0,1000,1040.0498489425981,91,3058,115.60271903323263,2.212916199925999,0.0,1000,1100,1200,1200,1400,1600,2000,2300,3100,3100,3100
GET,/get/key_34,643,0,1000,1051.4292379471228,82,3167,114.93779160186625,2.1494034993238933,0.0,1000,1100,1200,1200,1400,1600,2100,2800,3200,3200,3200
GET,/get/key_35,651,0,990,1011.8725038402458,77,2720,113.73118279569893,2.1761456890510957,0.0,990,1100,1200,1200,1300,1500,1800,2000,2700,2700,2700
GET,/get/key_36,693,0,990,1032.972582972583,92,2791,114.95238095238095,2.3165421851189083,0.0,990,1100,1200,1200,1400,1600,2000,2400,2800,2800,2800
GET,/get/key_37,701,0,1000,1042.522111269615,96,3500,115.56205420827389,2.3432843748461107,0.0,1000,1100,1200,1200,1400,1600,2000,2200,3500,3500,3500
GET,/get/key_38,670,0,1000,1025.7179104477611,93,2613,114.91194029850746,2.2396583896532016,0.0,1000,1100,1200,1200,1300,1600,1800,2100,2600,2600,2600
GET,/get/key_39,696,0,1000,1055.8994252873563,95,5197,114.941091954023,2.3265705062666093,0.0,1000,1100,1200,1200,1400,1600,2100,2500,5200,5200,5200
GET,/get/key_4,673,0,1000,1018.8083209509658,88,3524,112.75482912332838,2.249686710800902,0.0,1000,1100,1200,1200,1300,1500,1700,2000,3500,3500,3500
GET,/get/key_40,675,0,1000,1009.3822222222223,108,3201,114.93777777777778,2.256372258232703,0.0,1000,1100,1100,1200,1300,1500,1800,2100,3200,3200,3200
GET,/get/key_41,719,0,1000,1023.4214186369958,86,2982,114.74547983310153,2.403454301732316,0.0,1000,1100,1200,1200,1400,1600,1800,1900,3000,3000,3000
GET,/get/key_42,667,0,1000,1052.6041979010495,81,3471,114.75562218890555,2.2296300685055006,0.0,1000,1100,1200,1200,1400,1600,1900,2500,3500,3500,3500
