Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/key_0,1149,0,570,619.3516100957354,77,1998,115.0,3.8433613039797248,0.0,570,690,770,850,1000,1100,1300,1500,2000,2000,2000
GET,/get/key_1,1064,0,580,633.4342105263158,80,3450,113.0,3.5590395364964555,0.0,580,700,800,900,1000,1100,1400,1700,2500,3400,3400
GET,/get/key_10,1147,0,560,598.8526591107236,84,1940,115.0,3.836671380038942,0.0,560,670,750,820,990,1100,1200,1300,1800,1900,1900
GET,/get/key_100,1111,0,570,620.3609360936093,82,2791,116.0,3.7162527491048514,0.0,570,690,780,860,1000,1100,1300,1500,2100,2800,2800
GET,/get/key_11,1098,0,570,616.2677595628415,78,2310,115.0,3.672768243489763,0.0,570,690,780,850,1000,1100,1300,1600,2000,2300,2300
GET,/get/key_12,1114,0,560,610.3177737881508,81,1785,116.0,3.7262876350160257,0.0,560,680,780,860,1000,1100,1200,1400,1800,1800,1800
GET,/get/key_13,1100,0,580,636.6863636363636,79,2467,115.0,3.679458167430546,0.0,580,700,810,880,1000,1200,1400,1700,2400,2500,2500
GET,/get/key_14,1078,0,580,622.5556586270872,80,2455,115.0,3.605869004081935,0.0,580,690,770,830,1000,1200,1300,1500,2400,2500,2500
GET,/get/key_15,1133,0,580,629.3415710503089,79,2153,116.0,3.7898419124534626,0.0,580,700,810,890,1000,1100,1400,1600,2100,2200,2200
GET,/get/key_16,1108,0,580,622.1678700361011,84,2428,115.0,3.706217863193677,0.0,580,690,790,860,1000,1100,1300,1500,2200,2400,2400
GET,/get/key_17,1107,0,560,615.1526648599819,79,2433,116.0,3.702872901223286,0.0,560,670,760,830,1000,1200,1300,1500,2400,2400,2400
GET,/get/key_18,1054,0,580,615.3870967741935,82,2751,116.0,3.5255899167925415,0.0,580,700,760,820,1000,1100,1300,1400,1900,2800,2800
GET,/get/key_19,1163,0,560,611.1582115219261,81,2559,116.0,3.8901907715652047,0.0,560,700,780,840,1000,1100,1300,1400,2400,2600,2600
GET,/get/key_2,1124,0,570,610.5818505338078,79,2406,115.0,3.7597372547199397,0.0,570,680,750,820,1000,1100,1300,1400,2200,2400,2400
GET,/get/key_20,1092,0,560,611.4139194139194,78,2963,115.0,3.652698471667415,0.0,560,690,780,830,1000,1100,1400,1700,2300,3000,3000
GET,/get/key_21,1067,0,580,627.3392689784442,75,2684,115.0,3.56907442240763,0.0,580,700,780,840,1000,1200,1400,1600,2200,2700,2700
GET,/get/key_22,1140,0,560,607.4964912280702,83,2385,114.0,3.8132566462462023,0.0,560,680,770,840,1000,1100,1300,1500,2400,2400,2400
GET,/get/key_23,1146,0,570,613.7329842931937,86,2133,116.0,3.833326418068551,0.0,570,690,790,850,1000,1100,1300,1500,1800,2100,2100
GET,/get/key_24,1102,0,590,629.0980036297641,84,1742,115.0,3.686148091371329,0.0,590,710,790,860,1000,1100,1300,1400,1700,1700,1700
GET,/get/key_25,1194,0,570,618.142378559464,83,2483,115.0,3.9938845926473383,0.0,570,690,770,850,1000,1200,1300,1500,2100,2500,2500
GET,/get/key_26,1084,0,550,615.4630996309963,84,3021,116.0,3.6259387759042836,0.0,550,680,780,840,1000,1100,1400,1800,3000,3000,3000
GET,/get/key_27,1078,0,560,600.2931354359926,85,3001,116.0,3.605869004081935,0.0,560,680,750,820,990,1100,1300,1400,2200,3000,3000
GET,/get/key_28,1131,0,580,630.2917771883289,81,2343,115.0,3.7831519885126794,0.0,580,710,810,890,1000,1100,1300,1500,2200,2300,2300
GET,/get/key_29,1115,0,560,616.1085201793722,83,2288,115.0,3.7296325969864172,0.0,560,700,770,830,1000,1100,1400,1500,2100,2300,2300
GET,/get/key_3,1127,0,570,618.0434782608696,77,3236,114.0,3.769772140631114,0.0,570,690,760,820,1000,1100,1300,1500,2300,3200,3200
GET,/get/key_30,1121,0,580,625.1748438893845,79,2390,115.0,3.7497023688087654,0.0,580,710,800,860,1000,1100,1300,1500,2300,2400,2400
GET,/get/key_31,1141,0,550,612.5372480280456,81,2483,116.0,3.8166016082165934,0.0,550,680,760,820,1000,1100,1300,1600,2500,2500,2500
GET,/get/key_32,1129,0,580,620.762621789194,78,2459,114.0,3.7764620645718967,0.0,580,690,790,850,1000,1100,1300,1500,2300,2500,2500
GET,/get/key_33,1113,0,540,608.5265049415992,89,2274,116.0,3.722942673045634,0.0,540,680,770,820,1000,1100,1300,1500,2100,2300,2300
GET,/get/key_34,1128,0,570,619.936170212766,89,2436,115.0,3.7731171026015056,0.0,570,690,780,830,1000,1100,1400,1500,1900,2400,2400
GET,/get/key_35,1134,0,560,624.2451499118166,82,1999,114.0,3.7931868744238537,0.0,560,700,800,900,1000,1100,1400,1600,2000,2000,2000
GET,/get/key_36,1074,0,600,639.7420856610801,77,1999,115.0,3.5924891562003696,0.0,600,720,820,880,1000,1100,1300,1500,2000,2000,2000
GET,/get/key_37,1122,0,580,628.0276292335116,81,2500,116.0,3.753047330779157,0.0,580,690,780,860,1000,1100,1400,1500,2400,2500,2500
GET,/get/key_38,1131,0,580,622.3837312113175,82,2718,115.0,3.7831519885126794,0.0,580,680,760,830,1000,1100,1400,1700,2400,2700,2700
GET,/get/key_39,1088,0,550,610.1121323529412,82,2198,115.0,3.639318623785849,0.0,550,690,780,840,1000,1100,1300,1500,2200,2200,2200
GET,/get/key_4,1176,0,580,619.7721088435375,78,2960,113.0,3.933675277180293,0.0,580,690,780,850,1000,1100,1300,1400,2800,3000,3000
GET,/get/key_40,1068,0,570,622.6975655430712,87,2254,115.0,3.572419384378021,0.0,570,680,770,840,1000,1100,1400,1700,2000,2300,2300
