Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/key_0,1845,0,310,330.4569105691057,77,1838,112.6319783197832,6.157565142604332,0.0,310,370,400,430,500,560,690,860,1500,1800,1800
GET,/get/key_1,1869,0,320,343.8951310861423,78,1960,112.63777421080792,6.237663550963413,0.0,320,380,410,440,520,590,770,980,1800,2000,2000
GET,/get/key_10,1906,0,320,353.31636935991605,79,1675,115.82214060860441,6.3611485971836625,0.0,320,390,430,450,510,590,860,990,1600,1700,1700
GET,/get/key_100,1884,0,310,340.5376857749469,77,2267,117.63588110403397,6.287725056187838,0.0,310,360,400,430,500,560,830,1200,1900,2300,2300
GET,/get/key_11,1833,0,320,352.12111292962356,76,2339,113.66557555919258,6.117515938424791,0.0,320,390,430,460,520,610,760,860,1500,2300,2300
GET,/get/key_12,1858,0,320,350.280947255113,77,2031,113.68299246501614,6.200951780465501,0.0,320,380,420,450,520,620,760,980,1800,2000,2000
GET,/get/key_13,1785,0,330,352.9574229691877,78,1810,113.6577030812325,5.957319121706631,0.0,330,390,420,460,510,590,770,990,1700,1800,1800
GET,/get/key_14,1921,0,320,344.70432066631963,76,1942,115.63612701717855,6.411210102408088,0.0,320,380,420,450,520,600,740,880,1300,1900,1900
GET,/get/key_15,1858,0,310,341.52691065662003,78,2059,113.63993541442412,6.200951780465501,0.0,310,380,410,440,500,570,790,1000,1800,2100,2100
GET,/get/key_16,1782,0,320,354.74017957351293,79,2010,113.65432098765432,5.947306820661745,0.0,320,390,420,450,520,620,780,940,2000,2000,2000
GET,/get/key_17,1881,0,330,350.25837320574163,78,1984,116.62679425837321,6.277712755142953,0.0,330,390,430,460,510,590,770,980,1800,2000,2000
GET,/get/key_18,1813,0,330,356.9542195256481,78,1866,115.82349696635411,6.050767264792224,0.0,330,390,430,460,530,610,750,960,1700,1900,1900
GET,/get/key_19,1865,0,340,358.64343163538877,79,1660,112.59088471849866,6.224313816236899,0.0,340,400,440,460,520,600,720,840,1600,1700,1700
GET,/get/key_2,1910,0,330,354.017277486911,78,1997,112.66020942408377,6.374498331910176,0.0,330,380,420,450,510,600,770,1000,1900,2000,2000
GET,/get/key_20,1818,0,320,350.3877887788779,79,1500,113.66776677667767,6.067454433200366,0.0,320,380,420,450,510,580,720,980,1500,1500,1500
GET,/get/key_21,1933,0,320,346.6145887221935,77,1797,115.64459389549923,6.4512593065876285,0.0,320,380,410,450,510,600,820,1000,1500,1800,1800
GET,/get/key_22,1883,0,320,352.4269782262347,76,2339,113.6202867764206,6.28438762250621,0.0,320,380,430,460,520,600,750,950,1700,2300,2300
GET,/get/key_23,1722,0,320,354.7433217189315,80,2212,112.58072009291521,5.747060799764043,0.0,320,380,420,450,520,600,840,1000,1800,2200,2200
GET,/get/key_24,1879,0,330,356.72006386375733,79,1745,113.65832889835019,6.271037887779697,0.0,330,390,440,460,520,600,760,1000,1500,1700,1700
GET,/get/key_25,1843,0,320,344.74226804123714,78,1603,116.63754747693977,6.150890275241076,0.0,320,370,410,440,530,610,810,1000,1500,1600,1600
GET,/get/key_26,1854,0,320,344.86245954692555,79,1668,115.62891046386191,6.187602045738987,0.0,320,380,420,450,510,580,750,910,1500,1700,1700
GET,/get/key_27,1842,0,320,350.5016286644951,78,1706,113.63843648208469,6.147552841559447,0.0,320,380,420,450,520,600,780,1000,1600,1700,1700
GET,/get/key_28,1895,0,320,348.2031662269129,77,1775,116.65013192612138,6.3244368266857505,0.0,320,390,420,450,510,590,810,1200,1700,1800,1800
GET,/get/key_29,1847,0,310,330.0357336220899,79,1814,113.64266377910124,6.164240009967589,0.0,310,360,400,430,500,560,720,900,1600,1800,1800
GET,/get/key_3,1812,0,340,358.15562913907286,77,1717,111.59933774834437,6.047429831110596,0.0,340,400,440,470,530,600,770,900,1300,1700,1700
GET,/get/key_30,1776,0,330,352.8051801801802,78,2461,115.80405405405405,5.927282218571975,0.0,330,390,420,450,530,590,740,920,2000,2500,2500
GET,/get/key_31,1824,0,330,360.8985745614035,79,1749,115.80427631578948,6.087479035290136,0.0,330,390,430,460,530,620,840,1000,1500,1700,1700
GET,/get/key_32,1891,0,340,371.2041248016922,79,2079,113.64040190375462,6.311087091959236,0.0,340,410,450,480,550,650,850,1000,2000,2100,2100
GET,/get/key_33,1879,0,310,335.3842469398616,78,1552,113.63704097924428,6.271037887779697,0.0,310,380,410,440,510,580,720,900,1500,1600,1600
GET,/get/key_34,1807,0,320,350.09684560044275,78,1720,112.61925843940233,6.030742662702454,0.0,320,390,420,450,510,600,760,930,1500,1700,1700
GET,/get/key_35,1873,0,330,359.75920982381206,80,2010,113.64121729845168,6.251013285689926,0.0,330,390,420,450,520,620,800,1000,1800,2000,2000
GET,/get/key_36,1861,0,330,357.4481461579796,77,2210,112.62869425040302,6.210964081510386,0.0,330,390,430,460,520,600,860,1000,1700,2200,2200
GET,/get/key_37,1883,0,310,334.53478491768453,77,1803,113.63409453000531,6.28438762250621,0.0,310,370,400,420,500,560,710,950,1500,1800,1800
GET,/get/key_38,1875,0,320,346.95733333333334,79,1654,113.63413333333334,6.2576881530531825,0.0,320,390,420,440,510,570,710,880,1500,1700,1700
GET,/get/key_39,1912,0,320,348.26778242677824,77,1923,115.63179916317992,6.381173199273432,0.0,320,380,420,440,520,620,770,980,1800,1900,1900
GET,/get/key_4,1801,0,320,349.29372570794004,81,2495,114.63853414769572,6.0107180606126835,0.0,320,380,410,440,510,590,780,970,2200,2500,2500
GET,/get/key_40,1939,0,320,350.01856627127387,78,1644,112.60546673543064,6.471283908677398,0.0,320,380,420,440,520,600,870,990,1500,1600,1600
GET,/get/key_41,1785,0,330,363.89579831932775,76,1828,113.6610644257703,5.957319121706631,0.0,330,400,430,460,550,630,910,1100,1800,1800,1800
GET,/get/key_42,1885,0,330,351.1257294429708,80,2000,116.63501326259947,6.291062489869467,0.0,330,390,430,460,520,610,790,950,2000,2000,2000
GET,/get/key_43,1896,0,320,350.668776371308,78,1996,115.82014767932489,6.327774260367379,0.0,320,380,420,460,520,610,770,980,1700,2000,2000
GET,/get/key_44,1834,0,320,353.76444929116684,77,2370,115.63794983642312,6.12085337210642,0.0,320,380,420,460,510,610,830,1000,2000,2400,2400
